model,mode,total,valid,valid_rate,overall_qwk,macro_qwk,overall_mae,overall_rmse,formal_register_qwk,formal_register_mae,formal_register_rmse,thematic_coherence_qwk,thematic_coherence_mae,thematic_coherence_rmse,narrative_rhetorical_structure_qwk,narrative_rhetorical_structure_mae,narrative_rhetorical_structure_rmse,cohesion_qwk,cohesion_mae,cohesion_rmse
gemma-3-1b-it-4bit,fine-tuned,370,370,1.0,0.36697504906083545,0.0,0.5128378378378379,0.8734058837893399,0.0,0.36486486486486486,0.6637322807733104,0.0,0.9027027027027027,1.239005704238336,0.0,0.42162162162162165,0.7745966692414834,0.0,0.3621621621621622,0.6896924500642846
gemma-3-270m-it-4bit,fine-tuned,370,370,1.0,0.532207984617082,0.09848666338739873,0.6297297297297297,1.0013504395079191,0.1404296745359207,0.4648648648648649,0.753370803500884,-0.05657260375577344,1.1702702702702703,1.5130066718918291,0.17933588871183093,0.42162162162162165,0.746161347670031,0.13075369405761672,0.46216216216216216,0.7728501130861646
qwen2.5-0.5b-it-4bit,fine-tuned,370,370,1.0,0.3907929224409198,0.01685337067413481,0.5277027027027027,0.8849339569188811,0.0,0.36486486486486486,0.6637322807733104,0.0,0.9027027027027027,1.239005704238336,0.06741348269653924,0.4810810810810811,0.8252763664864523,0.0,0.3621621621621622,0.6896924500642846
smol-lm-135m-4bit,fine-tuned,370,370,1.0,0.4554337272291924,0.1700208686958671,0.4804054054054054,0.824047361535764,0.06633441630129633,0.3621621621621622,0.6575959492214292,0.08313646644885653,0.8189189189189189,1.1543103709282145,0.32263161951745944,0.4,0.7165985720844785,0.20798097251585612,0.34054054054054056,0.661693159884427
smol-lm-135m-it-4bit,fine-tuned,370,370,1.0,0.3734873387999855,0.003029729217951055,0.5114864864864865,0.8718572905786446,0.0,0.36486486486486486,0.6637322807733104,0.01211891687180422,0.8972972972972973,1.234635300128878,0.0,0.42162162162162165,0.7745966692414834,0.0,0.3621621621621622,0.6896924500642846
smol-lm-360m-it,fine-tuned,370,370,1.0,0.44302870478930945,0.042092965438886826,0.5614864864864865,0.9082951062292475,0.0,0.36486486486486486,0.6637322807733104,0.013120720203036007,0.8891891891891892,1.2269496344208288,0.1552511415525113,0.6297297297297297,0.9372184261837677,0.0,0.3621621621621622,0.6896924500642846
gemma-3-1b-it-4bit,zero-shot,370,0,0.0,,,,,,,,,,,,,,,,
gemma-3-270m-it-4bit,zero-shot,370,0,0.0,,,,,,,,,,,,,,,,
qwen2.5-0.5b-it-4bit,zero-shot,370,0,0.0,,,,,,,,,,,,,,,,
smol-lm-135m-4bit,zero-shot,370,0,0.0,,,,,,,,,,,,,,,,
smol-lm-135m-it-4bit,zero-shot,370,0,0.0,,,,,,,,,,,,,,,,
smol-lm-360m-it,zero-shot,370,0,0.0,,,,,,,,,,,,,,,,
gemma-3-1b-it-4bit,zero-shot-strict,370,19,0.051351351351351354,0.0,0.0,2.1052631578947367,2.2826577307580465,0.0,2.0,2.051956704170308,0.0,1.4210526315789473,1.7320508075688772,0.0,3.0,3.03488489333442,0.0,2.0,2.1026299321513875
gemma-3-270m-it-4bit,zero-shot-strict,370,318,0.8594594594594595,0.0,0.0,1.9929245283018868,2.216823893795046,0.0,1.9465408805031446,2.056589348515564,0.0,1.2452830188679245,1.576158852895148,0.0,2.8459119496855347,2.9519208116051185,0.0,1.9339622641509433,2.056589348515564
qwen2.5-0.5b-it-4bit,zero-shot-strict,370,370,1.0,0.0576896549962449,0.07070634063913092,1.9385135135135134,2.1715295394123793,0.07045856183708576,1.8945945945945946,2.004724150330643,0.1323643410852714,1.2702702702702702,1.617472168606377,0.02626827380910879,2.691891891891892,2.8569498004274,0.053734185825057734,1.8972972972972972,2.0161510024958114
smol-lm-135m-4bit,zero-shot-strict,370,0,0.0,,,,,,,,,,,,,,,,
smol-lm-135m-it-4bit,zero-shot-strict,370,0,0.0,,,,,,,,,,,,,,,,
smol-lm-360m-it,zero-shot-strict,370,0,0.0,,,,,,,,,,,,,,,,
